Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
France,FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,41100
France,FRA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,42704.8999252495
French Polynesia,PYF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
French Polynesia,PYF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Gabon,GAB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7970
Gabon,GAB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,8994.90542696223
"Gambia, The",GMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,620
"Gambia, The",GMB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,735.179652205275
Georgia,GEO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4410
Georgia,GEO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4088.24145944654
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,45850
Germany,DEU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,46358.0806773192
Ghana,GHA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1940
Ghana,GHA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1603.84689590516
Gibraltar,GIB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Gibraltar,GIB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Greece,GRC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20320
Greece,GRC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,22638.5426310059
Greenland,GRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Greenland,GRL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Grenada,GRD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7780
Grenada,GRD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Guam,GUM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Guam,GUM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Guatemala,GTM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3700
Guatemala,GTM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3133.83721032537
Guinea,GIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,760
Guinea,GIN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,737.868736238913
Guinea-Bissau,GNB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,640
Guinea-Bissau,GNB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,589.945161970863
Guyana,GUY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4130
Guyana,GUY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3717.1857275228
Haiti,HTI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,820
Haiti,HTI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,732.310624517439
Honduras,HND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2060
Honduras,HND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1924.11059164678
"Hong Kong SAR, China",HKG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,41180
"Hong Kong SAR, China",HKG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,36938.0825534162
Hungary,HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,13220
Hungary,HUN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14082.469983369
Iceland,ISL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,50160
Iceland,ISL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1600
India,IND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1731.5691293948
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3430
Indonesia,IDN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3701.82509946631
"Iran, Islamic Rep.",IRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5370
"Iran, Islamic Rep.",IRN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6083.40210870167
Iraq,IRQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5930
Iraq,IRQ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Ireland,IRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,50350
Ireland,IRL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,49574.3797024356
Isle of Man,IMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,83980
Isle of Man,IMN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Israel,ISR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,36030
Israel,ISR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,32765.2249939079
Italy,ITA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,32980
Italy,ITA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,33726.2354614366
Jamaica,JAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4710
Jamaica,JAM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4577.2494715361
Japan,JPN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,38840
Japan,JPN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,48909.3969047548
Jordan,JOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3900
Jordan,JOR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3268.1054657938
Kazakhstan,KAZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11380
Kazakhstan,KAZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10146.5522727092
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1290
Kenya,KEN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1079.40232898481
Kiribati,KIR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3470
Kiribati,KIR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3656.27983894637
"Korea, Dem. People’s Rep.",PRK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
"Korea, Dem. People’s Rep.",PRK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
"Korea, Rep.",KOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,28720
"Korea, Rep.",KOR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,26145.7468416745
Kosovo,XKX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4010
Kosovo,XKX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3884.12000335543
Kuwait,KWT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,42530
Kuwait,KWT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,39489.9740055362
Kyrgyz Republic,KGZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1180
Kyrgyz Republic,KGZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,981.444565678116
Lao PDR,LAO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970
Lao PDR,LAO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1469.20809463598
Latvia,LVA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15010
Latvia,LVA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14265.7196989685
Lebanon,LBN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7280
Lebanon,LBN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6413.42307229917
Lesotho,LSO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1340
Lesotho,LSO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1551.3212959225
Liberia,LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,630
Liberia,LBR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,521.342411183522
Libya,LBY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5690
Libya,LBY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Liechtenstein,LIE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Liechtenstein,LIE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Lithuania,LTU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15170
Lithuania,LTU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14795.5839915077
Luxembourg,LUX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,72470
Luxembourg,LUX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,69273.118299172
"Macao SAR, China",MAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,64350
"Macao SAR, China",MAC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,48659.3094752661
Madagascar,MDG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,490
Madagascar,MDG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,453.545254444254
Malawi,MWI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,350
Malawi,MWI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,489.209160557034
Malaysia,MYS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10680
Malaysia,MYS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10618.43543413
Maldives,MDV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7650
Maldives,MDV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Mali,MLI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,800
Mali,MLI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,713.555177173822
Malta,MLT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24680
Malta,MLT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,24507.81361145
Marshall Islands,MHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4310
Marshall Islands,MHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3880.58766276147
Mauritania,MRT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1640
Mauritania,MRT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1687.34068298736
Mauritius,MUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10700
Mauritius,MUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10140.2119689808
Mexico,MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10170
Mexico,MEX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,9794.26073626773
"Micronesia, Fed. Sts.",FSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3490
"Micronesia, Fed. Sts.",FSM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Moldova,MDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3300
Moldova,MDA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3131.24926601168
Monaco,MCO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Monaco,MCO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Mongolia,MNG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3820
Mongolia,MNG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3578.43392382791
Montenegro,MNE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7260
Montenegro,MNE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7460.2045136042
Morocco,MAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3020
Morocco,MAR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3160.26306602023
Mozambique,MOZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,640
Mozambique,MOZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,567.767226361357
Myanmar,MMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1260
Myanmar,MMR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1294.91453362142
Namibia,NAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5290
Namibia,NAM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6251.5435039987
Nauru,NRU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11390
Nauru,NRU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Nepal,NPL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,780
Nepal,NPL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,744.173458390359
Netherlands,NLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,49810
Netherlands,NLD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,51911.1511331615
New Caledonia,NCL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
New Caledonia,NCL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
New Zealand,NZL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,40560
New Zealand,NZL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,35522.5104790805
Nicaragua,NIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1910
Nicaragua,NIC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1784.30354392738
Niger,NER,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,520
Niger,NER,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,509.641678930238
Nigeria,NGA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2880
Nigeria,NGA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2506.66866236042
North Macedonia,MKD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5110
