country;code;city;cc;flag_code;region;asmp;abp;markup;aop;bpc_ge;bpc_gho;bpc_wiki;r_ge;r_gho;r_wiki;gni_atlas;be_gni_sm;be_gni_bp;be_gni_op
Sweden;SWE;Stockholm;Stockholm (SWE);se;Europe & Central Asia;1.34;5.95;4.4;3.65;63;2.62;NA;54;52;75;58250;43470.1;9789.9;15958.9
France;FRA;Strasbourg;Strasbourg (FRA);fr;Europe & Central Asia;0.96;5.54;5.8;3.25;43;2.16;33;59;58;48;41100;42812.5;7418.8;12646.2
Australia;AUS;Sydney;Sydney (AUS);au;East Asia & Pacific;2.37;6.56;2.8;4.46;99;3.76;76.3;21;32;22;60500;25527.4;9222.6;13565
Israel;ISR;Tel Aviv;Tel Aviv (ISR);il;Middle East & North Africa;2.06;9.53;4.6;5.79;23;1.56;17.4;69;65;56;36030;17490.3;3780.7;6222.8
Netherlands;NLD;The Hague;The Hague (NLD);nl;Europe & Central Asia;0.96;4.43;4.6;2.7;86;4.04;78.1;29;28;18;49810;51885.4;11243.8;18448.1
Japan;JPN;Tokyo;Tokyo (JPN);jp;East Asia & Pacific;2.38;7.17;3;4.77;25;1.35;41.4;67;66;45;38840;16319.3;5417;8142.6
Canada;CAN;Toronto;Toronto (CAN);ca;North America;1.64;4.91;3;3.27;116;3.7;55.7;10;33;39;47570;29006.1;9688.4;14547.4
Italy;ITA;Venice;Venice (ITA);it;Europe & Central Asia;1.1;5.91;5.4;3.5;29;1.79;31;64;63;51;32980;29981.8;5580.4;9422.9
Austria;AUT;Vienna;Vienna (AUT);at;Europe & Central Asia;1.18;5.73;4.9;3.45;95;6;107.6;25;2;2;47450;40211.9;8281;13753.6
Poland;POL;Warsaw;Warsaw (POL);pl;Europe & Central Asia;0.7;3.6;5.1;2.15;127;5.82;98.2;4;7;8;13350;19071.4;3708.3;6209.3
Switzerland;CHE;Zurich;Zurich (CHE);ch;Europe & Central Asia;1.66;7.53;4.5;4.6;63;3.17;55.5;54;45;41;85800;51686.7;11394.4;18652.2
